"title","author","author_company","repo","number","closed","created_at","closed_at","updated_at","labels","assignees"
Loki datasource range metric queries fail via /api/ds/query with empty-compatible matcher error while the same query works directly against Loki,DarkPhilosophy,Flex,grafana/grafana,121392,false,1774749803000,,1774749992000,"[""type/bug"",""area/backend/api"",""datasource/Loki"",""automated-triage""]",[]
Grafana: Metrics with dot in name get treated as if they were labels in Prometheus query generator,XANi,,grafana/grafana,121360,false,1774634196000,,1774634402000,"[""type/bug"",""datasource/Prometheus"",""automated-triage"",""area/dashboard/variable""]",[]
PieChartPanel: Add Gradient color scheme for proportional value encoding,fedir,,grafana/grafana,121301,false,1774611524000,,1774611720000,"[""type/feature-request"",""type/ux"",""type/accessibility"",""area/field/overrides"",""area/panel/piechart"",""area/legend"",""automated-triage""]",[]
Heatmap calculating min/max color scale values for repeated panels,76creates,Nebius,grafana/grafana,121299,false,1774611183000,,1774611376000,"[""type/feature-request"",""area/panel/heatmap"",""area/templating/repeating"",""automated-triage"",""area/panel/repeat""]",[]
"Dashboards: JSON editor incorrectly validates fieldConfig override matcher.options as ""object"" for byName matchers (false positive)",io41,,grafana/grafana,121296,false,1774610020000,,1774610210000,"[""type/bug"",""type/ux"",""area/field/overrides"",""type/regression"",""area/dashboard/edit"",""automated-triage"",""area/dashboard/settings""]",[]
[New Data Source]: <name-of-service>,mbachirimail-coder,,grafana/grafana,121286,false,1774603249000,,1774603249000,"[""area/datasource"",""type/new-plugin-request""]",[]
Unified Storage: Startup migration writes temp Parquet file to `/tmp/` breaking read-only root filesystem,rgoltz,@dbsystel,grafana/grafana,121283,false,1774600921000,,1774601119000,"[""type/bug"",""area/backend/db"",""area/backend"",""area/backend/db/sqlite"",""area/configuration"",""area/backend/db/migration"",""type/regression"",""automated-triage""]",[]
"Public Dashboard: ""datasource xyz was not found"" if dashboard has multiple datasources like prometheus, loki, elastic since upgrade to 12.4.2",Nachtfalkeaw,,grafana/grafana,121272,false,1774572611000,,1774638742000,"[""type/bug"",""area/backend/api"",""type/regression"",""area/public-dashboards"",""automated-triage"",""area/provisioning/datasources""]",[]
"Google Cloud Monitoring Data Source: ""This plugin doesn't support your version of Grafana.""",shibumi,@Google,grafana/grafana,121265,false,1774568303000,,1774568502000,"[""type/bug"",""area/plugins"",""datasource/GoogleCloudMonitoring"",""area/plugins-catalog"",""automated-triage""]",[]
Unified Alerting: error saving alert annotation batch,andrew-marwood,,grafana/grafana,121224,false,1774540253000,,1774540454000,"[""type/bug"",""area/annotations"",""area/alerting"",""area/backend/db"",""area/backend/db/mysql"",""type/regression"",""automated-triage""]",[]
Failing to Import Dashboards via JSON and URL ,,,grafana/grafana,121223,false,1774540210000,,1774594933000,"[""type/bug"",""area/dashboard/templating"",""area/dashboard/import"",""automated-triage"",""area/provisioning/datasources""]",[]
Multi-Select: On mobile selections don't take effect until another is removed,jameshartig,,grafana/grafana,121212,false,1774537321000,,1774596180000,"[""type/bug"",""area/dashboard/templating"",""type/browser-compatibility"",""team/grafana-dashboards"",""automated-triage"",""area/dashboard/variable""]",[]
