"title","author","author_company","repo","number","closed","created_at","closed_at","updated_at","labels","assignees"
"Implement product comparison feature with side-by-side specs (regression)","petrov_ivan","grot_plushies","grot-plushies/product-catalog-service","1202","false","1776700800000","","1776700800000","[""feature-request"",""area/caching"",""effort/small"",""priority/low""]","[""ops_admin"",""product_mgr""]"
"Quantity selector allows negative values in cart on staging","ross_taylor","grot_plushies","grot-plushies/frontend","1022","true","1776670300621","1776700800000","1776700800000","[""bug"",""area/search"",""effort/medium"",""priority/high""]","[""platform_eng""]"
"Support local payment methods per country (iDEAL, SEPA, etc.) intermittently","park_joon","grot_plushies","grot-plushies/payment-service","1158","false","1776644264239","","1776700800000","[""feature-request"",""area/tax-calc"",""effort/medium"",""priority/medium""]","[""data_eng""]"
"Address autocomplete suggestions extend beyond viewport on mobile since v2.4 upgrade","ross_taylor","grot_plushies","grot-plushies/frontend","1961","false","1776607785204","","1776700800000","[""bug"",""area/ui"",""effort/small"",""priority/high""]","[""product_mgr"",""sec_reviewer""]"
"Customer requests payment method update but page errors out in production","martinez_sofia","grot_plushies","grot-plushies/payment-service","1698","true","1776583240542","1776700800000","1776700800000","[""customer-support"",""area/currency"",""area/webhooks"",""effort/small"",""priority/medium""]","[""sec_reviewer""]"
"Checkout button unresponsive on Safari when cart has more than 10 items since v2.4 upgrade","silva_marco","grot_plushies","grot-plushies/frontend","1596","true","1776532047126","1776566837001","1776566837001","[""bug"",""area/checkout-flow"",""area/auth"",""effort/small"",""priority/medium""]","[""sec_reviewer""]"
"Footer overlaps content on tablets in landscape mode for new accounts","novak_petra","grot_plushies","grot-plushies/frontend","1419","false","1776525784495","","1776700800000","[""bug"",""area/ui"",""effort/small"",""priority/high""]","[]"
"Tax calculation returns incorrect amount for Canadian provinces since v2.4 upgrade","lin_mei","grot_plushies","grot-plushies/cart-service","1579","false","1776523115321","","1776700800000","[""bug"",""area/webhooks"",""effort/small"",""priority/low""]","[]"
"Add payment failure analysis reporting on staging","berg_katrin","grot_plushies","grot-plushies/payment-service","1735","false","1776518862492","","1776700800000","[""feature-request"",""area/refunds"",""effort/small"",""priority/medium""]","[]"
"Customer payment declined despite sufficient card balance after recent deploy","edwards_pat","grot_plushies","grot-plushies/payment-service","1944","true","1776434147695","1776700800000","1776700800000","[""customer-support"",""area/retry-logic"",""area/refunds"",""effort/medium"",""priority/low""]","[""dev_lead""]"
"Tax calculation returns incorrect amount for Canadian provinces","johnson_kim","grot_plushies","grot-plushies/cart-service","1604","true","1776335247461","1776700800000","1776700800000","[""bug"",""area/persistence"",""area/session"",""effort/small"",""priority/medium""]","[""ops_admin""]"
"Product availability API ignores warehouse-level stock splits since v2.4 upgrade","silva_marco","grot_plushies","grot-plushies/product-catalog-service","1681","true","1776293304026","1776700800000","1776700800000","[""bug"",""area/images"",""area/api"",""effort/small"",""priority/high""]","[""infra_lead""]"
"Customer unable to remove last item from cart on mobile intermittently","bennett_james","grot_plushies","grot-plushies/cart-service","1949","false","1776256515715","","1776700800000","[""customer-support"",""area/pricing"",""area/discounts"",""effort/medium"",""priority/medium""]","[""platform_eng""]"
"Cart quantity update endpoint allows fractional quantities (regression)","jones_terry","grot_plushies","grot-plushies/cart-service","1105","true","1776188497006","1776700800000","1776700800000","[""bug"",""area/validation"",""effort/medium"",""priority/critical""]","[""qa_engineer""]"
"Support recurring payment schedule customization on staging","rodriguez_ines","grot_plushies","grot-plushies/payment-service","1745","false","1776120112159","","1776700800000","[""feature-request"",""area/currency"",""effort/small"",""priority/high""]","[""qa_engineer""]"
"Support multi-warehouse inventory with location-based availability since v2.4 upgrade","brown_alex","grot_plushies","grot-plushies/product-catalog-service","1821","true","1776065923463","1776700800000","1776700800000","[""feature-request"",""area/reviews"",""effort/medium"",""priority/medium""]","[""platform_eng""]"
"Implement cart-level notes for special instructions for new accounts","rodriguez_ines","grot_plushies","grot-plushies/cart-service","1333","false","1776023161951","","1776700800000","[""feature-request"",""area/inventory-sync"",""effort/medium"",""priority/medium""]","[]"
"Shipping cost not recalculated when address changes at checkout","baker_tom","grot_plushies","grot-plushies/cart-service","1988","false","1776016067046","","1776438084193","[""bug"",""area/shipping-calc"",""effort/small"",""priority/medium""]","[""sre_oncall""]"
"Quantity selector allows negative values in cart for new accounts","chen_wei","grot_plushies","grot-plushies/frontend","1456","false","1775987170967","","1776414705727","[""bug"",""area/seo"",""effort/medium"",""priority/medium""]","[""ux_designer""]"
"Add keyboard shortcuts for power users in admin panel","kumar_ravi","grot_plushies","grot-plushies/frontend","1464","false","1775982635355","","1776062903185","[""feature-request"",""area/navigation"",""effort/medium"",""priority/low""]","[""infra_lead""]"
"Stripe customer ID lookup fails for migrated legacy accounts for new accounts","quinn_rowan","grot_plushies","grot-plushies/payment-service","1998","false","1775967017270","","1776592925247","[""bug"",""area/webhooks"",""area/currency"",""effort/small"",""priority/medium""]","[]"
"Order history shows duplicate entries for same purchase under high load","hall_morgan","grot_plushies","grot-plushies/frontend","1628","false","1775961010412","","1776247310357","[""customer-support"",""area/ui"",""area/navigation"",""effort/small"",""priority/high""]","[]"
"Support guest checkout without requiring account creation for new accounts","clark_mia","grot_plushies","grot-plushies/frontend","1130","false","1775892419196","","1776700800000","[""feature-request"",""area/images"",""effort/small"",""priority/medium""]","[]"
"Support recurring payment schedule customization since v2.4 upgrade","reed_jordan","grot_plushies","grot-plushies/payment-service","1502","true","1775891860327","1776700800000","1776700800000","[""feature-request"",""area/stripe"",""effort/small"",""priority/low""]","[""ux_designer""]"
"Implement progressive image loading with blur-up placeholder under high load","ali_omar","grot_plushies","grot-plushies/frontend","1045","true","1775891250561","1776700800000","1776700800000","[""feature-request"",""area/accessibility"",""area/auth"",""effort/medium"",""priority/medium""]","[""dev_lead""]"
"Payment method deletion doesn't revoke active subscriptions after recent deploy","honda_yuki","grot_plushies","grot-plushies/payment-service","1403","true","1775882561375","1776281046205","1776281046205","[""bug"",""area/webhooks"",""area/refunds"",""area/tax-calc"",""effort/small"",""priority/medium""]","[""infra_lead""]"
"Enable drag-and-drop reordering of wishlist items","bauer_lukas","grot_plushies","grot-plushies/frontend","1410","false","1775882504750","","1776394647669","[""feature-request"",""area/ux"",""effort/medium"",""priority/medium""]","[]"
"Enable drag-and-drop reordering of wishlist items after recent deploy","bell_sarah","grot_plushies","grot-plushies/frontend","1418","false","1775879814924","","1776700800000","[""feature-request"",""area/performance"",""effort/medium"",""priority/critical""]","[]"
"Customer cannot apply employee discount and promo code together on staging","olsen_mari","grot_plushies","grot-plushies/cart-service","1677","true","1775795196170","1775897334461","1775897334461","[""customer-support"",""area/pricing"",""effort/small"",""priority/high""]","[""platform_eng""]"
"User stuck on loading screen after PayPal redirect after recent deploy","hansen_ida","grot_plushies","grot-plushies/frontend","1025","false","1775754382300","","1776610081476","[""customer-support"",""area/ux"",""effort/large"",""priority/medium""]","[]"
"Return request form throws validation error for international addresses since v2.4 upgrade","dubois_julie","grot_plushies","grot-plushies/frontend","1637","true","1775726634036","1775895016596","1775895016596","[""customer-support"",""area/performance"",""area/navigation"",""area/ui"",""effort/medium"",""priority/high""]","[""data_eng""]"
"Cart TTL not reset on user interaction causing premature expiry in production","lopez_rosa","grot_plushies","grot-plushies/cart-service","1528","true","1775607261449","1776037496137","1776037496137","[""bug"",""area/pricing"",""effort/small"",""priority/low""]","[""data_eng""]"
"User reports items missing from saved cart after update on staging","foster_lee","grot_plushies","grot-plushies/frontend","1665","true","1775552535983","1776700800000","1776700800000","[""customer-support"",""area/checkout-flow"",""effort/small"",""priority/high""]","[""ops_admin""]"
"Add configurable fraud rules engine per merchant region","edwards_pat","grot_plushies","grot-plushies/payment-service","1380","true","1775536570166","1776700800000","1776700800000","[""feature-request"",""area/tax-calc"",""effort/small"",""priority/medium""]","[""platform_eng""]"
"Customer cannot download invoice PDF from order history under high load","dubois_julie","grot_plushies","grot-plushies/frontend","1896","false","1775535919877","","1776006165459","[""customer-support"",""area/accessibility"",""effort/small"",""priority/low""]","[""ops_admin""]"
"Customer needs payment receipt reissued with updated address after recent deploy","bell_sarah","grot_plushies","grot-plushies/payment-service","1691","false","1775530866715","","1775580561258","[""customer-support"",""area/receipts"",""area/refunds"",""effort/small"",""priority/low""]","[""platform_eng""]"
"Cart export to CSV includes internal IDs instead of product names","flores_ana","grot_plushies","grot-plushies/cart-service","1693","false","1775428688785","","1775496228169","[""bug"",""area/session"",""effort/large"",""priority/medium""]","[]"
"International customer charged domestic tax rate incorrectly (regression)","olsen_mari","grot_plushies","grot-plushies/payment-service","1229","false","1775428271635","","1775502850507","[""customer-support"",""area/tax-calc"",""area/invoicing"",""effort/small"",""priority/low""]","[""qa_engineer"",""infra_lead""]"
"Cart total miscalculated when mixing percentage and fixed discounts intermittently","ortiz_diego","grot_plushies","grot-plushies/cart-service","1323","false","1775425014288","","1776054060804","[""bug"",""area/api"",""area/shipping-calc"",""effort/small"",""priority/medium""]","[]"
"Add estimated delivery date to cart summary","quinn_rowan","grot_plushies","grot-plushies/frontend","1847","true","1775411483669","1776462800535","1776462800535","[""feature-request"",""area/mobile"",""effort/large"",""priority/high""]","[""dev_lead""]"
"Customer unable to remove last item from cart on mobile under high load","johnson_kim","grot_plushies","grot-plushies/cart-service","1111","true","1775332239072","1776605603006","1776605603006","[""customer-support"",""area/ttl"",""effort/small"",""priority/medium""]","[""sec_reviewer""]"
"Webhook event replay creates duplicate refund transactions","carter_devon","grot_plushies","grot-plushies/payment-service","1614","false","1775314983844","","1776469280072","[""bug"",""area/stripe"",""effort/small"",""priority/low""]","[]"
"Support recurring payment schedule customization on staging","petrov_ivan","grot_plushies","grot-plushies/payment-service","1139","false","1775303397376","","1775508235328","[""feature-request"",""area/invoicing"",""effort/small"",""priority/low""]","[""ux_designer""]"
"Add product size guide overlay for plushie dimensions after recent deploy","patel_nisha","grot_plushies","grot-plushies/frontend","1769","false","1775246744383","","1776374589148","[""feature-request"",""area/navigation"",""area/checkout-flow"",""effort/small"",""priority/medium""]","[""qa_engineer""]"
"Quantity selector allows negative values in cart after recent deploy","kumar_ravi","grot_plushies","grot-plushies/frontend","1085","true","1775204197539","1775823058003","1775823058003","[""bug"",""area/images"",""effort/medium"",""priority/critical""]","[""qa_engineer""]"
"Implement installment payment plans with configurable terms","harris_jo","grot_plushies","grot-plushies/payment-service","1659","true","1775158301468","1775235580142","1775235580142","[""feature-request"",""area/invoicing"",""area/refunds"",""effort/small"",""priority/medium""]","[""sre_oncall"",""platform_eng""]"
"Review star rating shows fractional stars as empty for new accounts","kelly_erin","grot_plushies","grot-plushies/frontend","1673","false","1775106874969","","1776193378062","[""bug"",""area/i18n"",""effort/small"",""priority/low""]","[""product_mgr""]"
"Payment intent not cancelled when user abandons checkout in production","mueller_tim","grot_plushies","grot-plushies/payment-service","1620","false","1775084288572","","1775615785809","[""bug"",""area/refunds"",""effort/medium"",""priority/medium""]","[]"
"Enable drag-and-drop reordering of wishlist items intermittently","moore_ash","grot_plushies","grot-plushies/frontend","1177","false","1775041794685","","1775483713499","[""feature-request"",""area/images"",""effort/medium"",""priority/high""]","[""sre_oncall"",""sec_reviewer""]"
"Category page returns 404 when slug contains consecutive hyphens in production","grant_sam","grot_plushies","grot-plushies/product-catalog-service","1692","false","1775033357550","","1775080509786","[""bug"",""area/caching"",""effort/large"",""priority/high""]","[]"
"Bulk add-to-cart endpoint times out for orders with 50+ items (regression)","rodriguez_ines","grot_plushies","grot-plushies/cart-service","1609","true","1775020591850","1776700800000","1776700800000","[""bug"",""area/inventory-sync"",""area/validation"",""effort/medium"",""priority/medium""]","[""ux_designer""]"
"Product images fail to load on slow connections causing layout shift after recent deploy","lopez_rosa","grot_plushies","grot-plushies/frontend","1545","false","1774986616031","","1775869463750","[""bug"",""area/seo"",""effort/medium"",""priority/medium""]","[]"
"Settlement report missing transactions from timezone boundary in production","bauer_lukas","grot_plushies","grot-plushies/payment-service","1774","false","1774850488935","","1775969965298","[""bug"",""area/tax-calc"",""effort/medium"",""priority/low""]","[""ops_admin""]"
